Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
perkArcheryDesc,progression,perk Agi,,,Master the use of bows and crossbows.,,Meistere die Kunst des Bogen- und Armbrustschießens.,Domina el uso de arcos y ballestas.,Maîtrisez le maniement des arcs et des arbalètes.,Padroneggia l'uso di archi e balestre.,弓とクロスボウの達人になりましょう。,활과 석궁을 마스터하세요.,Mistrzowskie opanowanie łuków i kusz.,Domine o uso dos arcos e das bestas.,Освойте луки и арбалеты.,Yay ve arbalette usta ol.,使用弓弩的大师。,精於使用弓和弩。,Domina el uso de arcos y ballestas.
perkArcheryName,progression,perk Agi,,,Archery,,Bogenschießen,Arquería,Tir à l'arc,Arcieria,アーチェリー,궁도,Łucznictwo,Arquearia,Стрельба из лука,Okçuluk,弓术,箭術,Arquería
perkArcheryRank1Desc,progression,perk Agi,,,Bowman,,Hobby-Bogenschütze,Arquero,Tireur à l'arc,Principiante,ボウマン,궁수,Szeregowy łucznik,Arqueiro iniciante,Стрелок из лука,Yaycı,弓手,弓箭手,Arquero
perkArcheryRank1LongDesc,progression,perk Agi,,,"Many start on the path of the ranger but few can reach it. Craft quality 2 poor bows, deal 10% more damage, 10% faster aim, draw and reload with bows. Unlocks wooden bow and iron crossbow crafting.",,"Viele beginnen den Pfad des Rangers zu gehen, doch nur wenige erreichen das Ziel. Fertige Bögen von Qualität 2 (schlecht), verursache 10 % mehr Schaden und sei 10 % schneller beim Zielen, Spannen und Nachladen von Bögen. Schaltet das Fertigen von Holzbögen und Eisernen Armbrüsten frei.","Muchos inician la senda del cazador, pero pocos la pueden terminar. Crea 2 arcos de calidad deficiente, infligen un 10 % más de daño, un 10 % más de velocidad de puntería, tiro y recarga con arcos. Desbloquea la fabricación del arco de madera y la ballesta de hierro.","Nombreux sont ceux qui se lancent sur la voie du rôdeur, mais peu y parviennent. Vous fabriquez des arcs médiocres de qualité 2, infligez 10 % de dégâts supplémentaires, visez 10 % plus vite, et chargez votre arc immédiatement en le dégainant. Déverrouille la fabrication d'arcs en bois et d'arbalètes en fer.","Molti intraprendono il sentiero del sagittario, ma pochi riescono a raggiungerlo. Crea archi mediocri di qualità 2: infliggono il 10% di danni in più, prendi la mira, scocchi le frecce e ricarichi l'arco il 10% più velocemente. Sblocca la creazione dell'arco di legno e della balestra di ferro.",レンジャーになるための道を歩み始める者はたくさんいますが、到達する者はわずかです。品質レベル2のみすぼらしい弓をクラフトし、+10%のダメージを与え、照準速度が10%アップし、矢でリロードが可能。木の弓と鉄製クロスボウのクラフトがアンロックされます。,"많은 사람들이 레인저의 길로 시작하지만, 도달하는 사람은 거의 없습니다. 품질 2의 형편없는 활을 제작하고, 10% 추가 대미지, 10% 더 빠른 활 조준, 겨누기, 재장전이 가능합니다. 나무 활과 철제 석궁 제작 해제.","Wielu wkracza na ścieżkę leśnika, ale mało kto dociera do końca. Wytwarzaj słabe łuki jakości 2, zadawaj 10% więcej obrażeń, celuj, naciągaj i zakładaj strzały 10% szybciej. Odblokowuje wytwarzanie drewnianego łuku i żelaznej kuszy.","Muitos querem se tornar patrulheiros, mas poucos conseguem. Fabrique arcos ruins de qualidade 2, cause 10% mais dano, além de mirar, sacar e recarregar com arcos 10% mais rápido. Desbloqueia o arco de madeira e a fabricação da besta de ferro.","Многие становятся егерями, но мало кто с этим справляется. Вы создаете плохие луки классом качества 2, наносите на 10% больше урона, на 10% быстрее прицеливаетесь, натягиваете тетиву и перезаряжаете лук. Разблокирует изготовление деревянного лука и железного арбалета.","Korucu olmayı herkes ister ama az kişi başarabilir. Kalite 2 zayıf yaylar üret, yaylarla %10 daha fazla hasar ver ve %10 daha hızlı nişan al, ger ve doldur. Tahta yay ve demir arbalet üretiminin kilidini açar.",许多人都选择了护林员这条路，但很少有人能走到底。能制作质量为2（破烂）的弓，造成的伤害增加10%，弓的瞄准、抽箭与重装速度加快10%。解锁木质弓与铁质弩的制作。,許多人開始踏上遊俠之路，但很少有人能夠達成。製作 2 把質量較差的弓，拉弓和裝弓增加 10% 的傷害值和 10% 的瞄準速度。解鎖木弓和鐵弩製作。,"Muchos inician la senda del cazador, pero pocos la pueden terminar. Crea 2 arcos de calidad deficiente, infligen un 10 % más de daño, un 10 % más de velocidad de puntería, tiro y recarga con arcos. Desbloquea la fabricación del arco de madera y la ballesta de hierro."
perkArcheryRank2Desc,progression,perk Agi,,,Archer,,Bogenschütze,Arquero,Archer,Arciere,アーチャー,궁수,Łucznik,Arqueiro,Лучник,Okçu,长弓手,工兵,Arquero
perkArcheryRank2LongDesc,progression,perk Agi,,,"You still have much to learn, grasshopper. Craft quality 3 fair bows, deal 20% more damage, 20% faster aim, draw and reload with bows, craft a magazine extender for the crossbow.",,"Du musst noch viel lernen, Grashüpfer. Fertige Bögen von Qualität 3 (akzeptabel), verursache 20 % mehr Schaden und sei 20 % schneller beim Zielen, Spannen und Nachladen von Bögen.","Aun tienes mucho que aprender, pequeño saltamontes. Crea 3 arcos de calidad media, infligen un 20 % más de daño, un 20 % más de velocidad de puntería, tiro y recarga con arcos.","Vous avez encore beaucoup à apprendre, petit scarabée. Vous fabriquez des arcs ordinaires de qualité 3, infligez 20 % de dégâts supplémentaires, visez 20 % plus vite, et chargez votre arc immédiatement en le dégainant.","Hai ancora molto da imparare, dilettante. Crea archi discreti di qualità 3: infliggono il 20% di danni in più, prendi la mira, scocchi le frecce e ricarichi l'arco il 20% più velocemente.",学ぶことはまだまだたくさんありますよ。品質レベル3の美しい弓をクラフトし、+20%のダメージを与え、照準速度が20%アップし、矢でリロードが可能。,"아직 배워야 할 게 산더미랍니다, 메뚜기님. 품질 3의 괜찮은 활을 제작하고, 20% 추가 대미지, 20% 더 빠른 활 조준, 겨누기, 재장전이 가능합니다.","Nadal masz wiele nauki przed sobą. Wytwarzaj niezłe łuki jakości 3, zadawaj 20% więcej obrażeń, celuj, naciągaj i zakładaj strzały 20% szybciej.","Você ainda tem muito a aprender, pequeno gafanhoto. Fabrique arcos ruins de qualidade 3, cause 20% mais dano além de mirar, sacar e recarregar com arcos 20% mais rápido.","Вам еще многому нужно учиться. Вы создаете нормальные луки классом качества 3, наносите на 20% больше урона, на 20% быстрее прицеливаетесь, натягиваете тетиву и перезаряжаете лук.","Öğreneceğin daha çok şey var çekirge. Kalite 3 makul yaylar üret, yaylarla %20 daha fazla hasar ver ve %20 daha hızlı nişan al, ger ve doldur.",菜鸟，你要学的还有很多呢。能制作质量为3（一般）的弓，造成的伤害增加20%，弓的瞄准、抽箭与重装速度加快20%。,你還有很多東西要學，新手。製作 3 把質量一般的弓，拉弓和裝弓增加 20% 的傷害值和 20% 的瞄準速度。,"Aun tienes mucho que aprender, pequeño saltamontes. Crea 3 arcos de calidad media, infligen un 20 % más de daño, un 20 % más de velocidad de puntería, tiro y recarga con arcos."
perkArcheryRank3Desc,progression,perk Agi,,,Marksman,,Scharfschütze,Tirador,Tireur d'élite,Cecchino,マークスマン,명사수,Z łukiem za pan brat,Atirador,Искусный стрелок,Nişancı,神射手,射手,Tirador
perkArcheryRank3LongDesc,progression,perk Agi,,,"All the rigorous training has turned you into a marksman with Bows. Craft quality 4 good bows, deal 30% more damage, 30% faster aim, draw and reload with bows.",,"All das harte Training hat dich zu einem Scharfschützen mit Bögen gemacht. Fertige Bögen von Qualität 4 (gut), verursache 30 % mehr Schaden und sei 30 % schneller beim Zielen, Spannen und Nachladen von Bögen.","Todo el riguroso entrenamiento te ha convertido en un tirador con arcos. Crea 4 arcos de calidad buena, infligen un 30 % más de daño, un 30 % más de velocidad de puntería, tiro y recarga con arcos.","Toute cette rigueur dans vos entraînements a fait de vous un archer d'élite. Vous fabriquez des arcs corrects de qualité 4, infligez 30 % de dégâts supplémentaires, visez 30 % plus vite, et chargez votre arc immédiatement en le dégainant.","Il duro allenamento con l'arco ti ha trasformato in un cecchino. Crea archi buoni di qualità 4: infliggono il 30% di danni in più, prendi la mira, scocchi le frecce e ricarichi l'arco il 30% più velocemente.",厳しい訓練を通して、あなたは弓のマークスマンになりました。品質レベル4の優れた弓をクラフトし、+30%のダメージを与え、照準速度が30%アップし、矢でリロードが可能。,"엄격한 훈련으로 활의 명사수가 되었습니다. 품질 4의 좋은 활을 제작하고, 30% 추가 대미지, 30% 더 빠른 활 조준, 겨누기, 재장전이 가능합니다. ","Rygorystyczny trening pozwolił ci doskonale opanować strzelanie z łuku. Wytwarzaj dobre łuki jakości 4, zadawaj 30% więcej obrażeń, celuj, naciągaj i zakładaj strzały 30% szybciej.","O treinamento rigoroso transformou você em um atirador hábil. Fabrique arcos ruins de qualidade 4, cause 30% mais dano além de mirar, sacar e recarregar com arcos 30% mais rápido.","Упорные тренировки сделали из вас искусного стрелка из лука. Вы создаете хорошие луки классом качества 4, наносите на 30% больше урона, на 30% быстрее прицеливаетесь, натягиваете тетиву и перезаряжаете лук.","Yoğun çalışmaların sonucunda Yay nişancısı oldun. Kalite 4 güzel yaylar üret, yaylarla %30 daha fazla hasar ver ve %30 daha hızlı nişan al, ger ve doldur.",严格的训练已经把你变成了一个使用弓箭的神射手。能制作质量为4（良好）的弓， 造成的伤害增加30%，弓的瞄准、抽箭与重装速度加快30%。,經過所有嚴格的訓練，你已經成爲一名持弓的射手。製作 4 把質量很好的弓，拉弓和裝弓增加 30% 的傷害值和 30% 的瞄準速度。,"Todo el riguroso entrenamiento te ha convertido en un tirador con arcos. Crea 4 arcos de calidad buena, infligen un 30 % más de daño, un 30 % más de velocidad de puntería, tiro y recarga con arcos."
perkArcheryRank4Desc,progression,perk Agi,,,Hairsplitter,,Haarspalter,Peluquero,Sniper médiéval,Spuntacapelli,タカの目,궁도의 귀재,Strzelec wyborowy,Pontaria certeira,Робин Гуд,Saç Ayıran,发丝射手,神射手,Peluquero
perkArcheryRank4LongDesc,progression,perk Agi,,,"You can split a hair you are so good at archery now. Craft quality 5 great bows, deal 40% more damage, 40% faster aim, draw and reload with bows.",,"Du bist so ein guter Schütze, dass du mit deinem Bogen Haare spalten kannst. Fertige Bögen von Qualität 5 (hochwertig), verursache 40 % mehr Schaden und sei 40 % schneller beim Zielen, Spannen und Nachladen von Bögen.","Has mejorado tanto en la arquería que puedes peinar a cualquiera a distancia con la flecha. Crea 5 arcos de calidad genial, infligen un 40 % más de daño, un 40 % más de velocidad de puntería, tiro y recarga con arcos.","Un arc entre vos mains est aussi dévastateur qu'une arme à feu. Vous fabriquez des arcs excellents de qualité 5, infligez 40 % de dégâts supplémentaires, visez 40 % plus vite, et chargez votre arc immédiatement en le dégainant.","Ormai sei talmente abile che riusciresti a dividere un capello a metà. Crea archi ottimi di qualità 5: infliggono il 40% di danni in più, prendi la mira, scocchi le frecce e ricarichi l'arco il 40% più velocemente.",タカのように鋭い目を持ったアーチェリーの達人です。品質レベル5の素晴らしい弓をクラフトし、+40%のダメージを与え、照準速度が40%アップし、矢でリロードが可能。,"궁도의 귀재가 되어 이제는 머리카락까지 쪼갤 수 있습니다. 품질 5의 멋진 활을 제작하고, 40% 추가 대미지, 40% 더 빠른 활 조준, 겨누기, 재장전이 가능합니다. ","Trafisz nawet owada w locie. Wytwarzaj świetne łuki jakości 5, zadawaj 40% więcej obrażeń, celuj, naciągaj i zakładaj strzały 40% szybciej.","Você é tão bom em arquearia agora que consegue acertar um fio de cabelo. Fabrique arcos ótimos de qualidade 5, cause 40% mais dano além de mirar, sacar e recarregar com arcos 40% mais rápido.","Теперь вы стреляете как Робин Гуд и можете попасть в волос. Вы создаете отличные луки классом качества 5, наносите на 40% больше урона, на 40% быстрее прицеливаетесь, натягиваете тетиву и перезаряжаете лук.","Okçulukta o kadar iyisin ki bir saç telini bile vurabilirsin. Kalite 5 harika yaylar üret, yaylarla %40 daha fazla hasar ver ve %40 daha hızlı nişan al, ger ve doldur.",你在弓术中的造诣已经到了能射中发丝的地步了。能制作质量为5（优秀）的弓， 造成的伤害增加40%，弓的瞄准、抽箭与重装速度加快40%。,你現在的箭術非常精湛，可以劈開一根頭髮。製作 5 把質量上乘的弓，拉弓和裝弓增加 40% 的傷害值和 40% 的瞄準速度。,"Has mejorado tanto en la arquería que puedes peinar a cualquiera a distancia con la flecha. Crea 5 arcos de calidad genial, infligen un 40 % más de daño, un 40 % más de velocidad de puntería, tiro y recarga con arcos."
